text,category,priority,source
rename opportunity alias rename opportunity alias hello please assign thank kind regards rename opportunity alias hi opportunity has same alias client name causes sort issues making ad thus please rename opportunity alias thanks senior planning analyst,General,Low,it_service
"i made a xxxx dollar deposit to my sister s bank account in xxxx on xxxx xxxx , 2017 but when i contacted her to inform her she told me that that bank account had been closed on xxxx xxxx , 2017. she went to the bank and tried to reopen the account to collect the money and they said that it was not possible to do that the money had been returned to whoever sent it and now neither the bank in xxxx nor the company i was with whom the sending was made they want to make them responsible for delivering the money. the company vigo says that in its system appears the money paid and that expect a response from the bank but have spent 2 weeks and do not give me any solution to the problem if not to keep waiting. i thank you in advance for the help you can give me.",Billing,Medium,consumer_complaints
new starter friday pm hello please fill back date thank administration officer,General,Low,it_service
"my wallet phone were stolen while i was out at dinner early xxxx. i got a new phone a day or so later and i noticed some disputes were filed through my bank from cashapp. when i called both cashapp my bank after i noticed xxxx was missing from my cashapp, i was told this was due to charge back and it was too late to cancel the dispute. on xxxxxxxx, the dispute was closed with no error occurring which means i shouldve gotten the xxxx back. however cashapp closed my account and referred me back to my bank who initially referred me to them. now i am out of xxxx and cashapp refuses to explain anything about my funds.",Billing,High,consumer_complaints
leaver december center leaver form leave date december location center hello leaver form has filled by name leaving date december location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments she part needed tickets automatically logged best regards note mailbox receive messages,General,Low,it_service
password reset for com sent tuesday october your password expire today importance high hi guys please update password for expires today really important can have password asap blocked client representative our product owner thanks sent tuesday october re your password expire today hi can you please assist with updating password thanks manager water street th floor ny please report technical issues or call option sent tuesday october your password expire today importance high dear your password expire today change your password pc press ctrl alt delete choose change password thanks ext,Technical,High,it_service
"i received notification of an increase in my mortgage payment effective xxxx2019. according to the statement i received, my monthly payment would increase from 590.00 to 640.00 unless i chose to pay a lump sum of 480.00 to cover an escrow shortage by xxxx19. i sent in a check for 490.00 along with the statement slip to cover the escrow shortage mortgage coupon as directed. my check included escrow shortage and the acct number on the memo line. my monthly payment for xxxx was sent to lakeview through my bank auto pay in the amount of 610.00. lakeview processed the escrow payment on xxxx2019 which should have changed my monthly payment amount to 600.00. however, my statements since xxxx have shown 640.00 as the amount due. when i looked at my payment history online, i found lakeview had applied the 490.00 as a partial monthly payment for the following month xxxx instead of an escrow shortage payment. when my xxxx payment was automatically sent at the end of xxxx, lakeview posted it as a principal curtailment rather than my monthly payment. i emailed lakeview customer service on xxxxxxxx after submitting an inquiry to customer service via their website and not receiving a response. no response to my email either. i mailed a letter to lakeview in mid-xxxx asking them to properly credit the 490.00 posted on xxxx2019 as an escrow shortage payment and correct the xxxx and xxxx payments to reflect the 610.00 as monthly payments of 600.00 with an additional 3.00 as a principal curtailment. no response. on xxxxxxxx, i emailed customer service again including an explanation and a copy of the letter i had mailed the month before. finally, on xxxxxxxx, i received an email response stating that lakeview s payment processing team would be reviewing my account. online, it shows misapplication reversals were entered on my account one of which removed the escrow entered as a short payment then applied it on xxxxxxxx as an escrow payment due on xxxx19 originally due xxxx19 . an escrow advance for 330.00 was entered on xxxxxxxx with a due date of xxxx19. however, there are also 4 misapplication reversals made on xxxxxxxx for my monthly payments for xxxx, xxxx, xxxx and xxxx which were never reapplied correctly. there have been no other transactions since xxxxxxxx despite the email i sent 2 days ago telling them it now appears i am 4 mortgage payments behind.",General,Low,consumer_complaints
"prior to using square merchant services i was with xxxx xxxx for my merchant processing. in the 6 years i was with xxxx, i won over 90 of chargebacks filed against my company. xxxx provided me with the full card number of the cardholder for each dispute, the name and phone number of the bank handling the dispute, and the means to send me rebuttals to the banks. now that i am with square, they refuse to provide me with any of these details, despite square using xxxx as their own processor. since signing up with square i have lost 100 of my chargeback disputes, which leads me to believe that square is not sending the rebuttals and evidence i upload via their online dispute resolution process to the cardholder s bank. when i called in to square to ask for the bank details for 2 banks handling 2 different disputes on my account, they refused. these disputes amount to over 2400.00. on one dispute i have included signed proof of delivery to the customer dated after her complaint of product not as described , which is an impossible complaint to make before receiving merchandise. i also sent an email from this customer who stated she canceled her dispute with her bank and i would be getting my funds returned. weeks have gone by and the funds have not been returned to my account despite uploading this documentation to square refuting the customer s claim. a second dispute the customer claimed non-delivery of goods. i provided a signed proof of delivery to the billing address of this customer. i also called the customer who confirmed he had contacted his bank, confirmed receipt of goods and that the dispute had been canceled. despite providing this documentation to square, my funds have not been returned. how i can go from over a 90 win ratio to a 100 loss ratio from switching processors is a mystery. the only logical conclusion because the way i fight chargebacks is the same now as it was then is that square is mishandling my documentation and not providing it to the cardholder s bank, allowing the bank to defraud me for thousands of dollars. requests for a supervisor by square were denied. requests for the cardholder bank contact details were declined. proof that the documents i submitted to square were delivered to the cardholder s bank were declined. a request for a callback from a managersupervisor or the legal team were declined. square is violating my financial rights and assisting with fraud against my account. they are refusing to provide information that xxxx gives them access to, stating company policy as their reasons.",Billing,Medium,consumer_complaints
contracts to be moved contracts moved hi guys please move contracts contract id contract id contract id thanks officer,General,Low,it_service
credit acceptance will not remove remarks from my credit reports which says settle for less which is affecting my credit reports,General,Low,consumer_complaints
